Sample	Length	Site	End	Offset	Count
SRR1944912	27	TTS	5p-end	-15	79
SRR1944912	28	TTS	5p-end	-15	918
SRR1944912	29	TTS	5p-end	-15	6261
SRR1944912	30	TTS	5p-end	-15	6450
SRR1944912	31	TTS	5p-end	-15	1949
SRR1944912	32	TTS	5p-end	-15	132
SRR1944912	33	TTS	5p-end	-15	41
SRR1944912	25	TTS	5p-end	-14	16
SRR1944912	26	TTS	5p-end	-14	23
SRR1944912	27	TTS	5p-end	-14	32
SRR1944912	28	TTS	5p-end	-14	232
SRR1944912	29	TTS	5p-end	-14	589
SRR1944912	30	TTS	5p-end	-14	512
SRR1944912	31	TTS	5p-end	-14	1689
SRR1944912	32	TTS	5p-end	-14	1672
SRR1944912	33	TTS	5p-end	-14	258
SRR1944912	25	TTS	5p-end	-13	6
SRR1944912	26	TTS	5p-end	-13	19
SRR1944912	27	TTS	5p-end	-13	73
SRR1944912	28	TTS	5p-end	-13	141
SRR1944912	29	TTS	5p-end	-13	364
SRR1944912	30	TTS	5p-end	-13	4032
SRR1944912	31	TTS	5p-end	-13	7041
SRR1944912	32	TTS	5p-end	-13	3107
SRR1944912	33	TTS	5p-end	-13	89
SRR1944912	25	TTS	5p-end	-12	9
SRR1944912	26	TTS	5p-end	-12	28
SRR1944912	27	TTS	5p-end	-12	58
SRR1944912	28	TTS	5p-end	-12	137
SRR1944912	29	TTS	5p-end	-12	2473
SRR1944912	30	TTS	5p-end	-12	6033
SRR1944912	31	TTS	5p-end	-12	4671
SRR1944912	32	TTS	5p-end	-12	310
SRR1944912	33	TTS	5p-end	-12	1
SRR1944912	25	TTS	5p-end	-11	34
SRR1944912	26	TTS	5p-end	-11	41
SRR1944912	27	TTS	5p-end	-11	17
SRR1944912	28	TTS	5p-end	-11	86
SRR1944912	29	TTS	5p-end	-11	499
SRR1944912	30	TTS	5p-end	-11	706
SRR1944912	31	TTS	5p-end	-11	265
SRR1944912	32	TTS	5p-end	-11	22
SRR1944912	33	TTS	5p-end	-11	0
SRR1944912	25	TTS	5p-end	-10	16
SRR1944912	26	TTS	5p-end	-10	5
SRR1944912	27	TTS	5p-end	-10	14
SRR1944912	28	TTS	5p-end	-10	42
SRR1944912	29	TTS	5p-end	-10	143
SRR1944912	30	TTS	5p-end	-10	109
