transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
NM_001179528.3	1326.0	1646.0	2567.0	2470.0	1717.0	2768.0
NM_001179529.3	184.0	200.0	298.0	309.0	260.0	399.0
NM_001179530.1	562.0	596.0	803.0	619.0	659.0	1037.0
NM_001179531.1	106.0	88.0	165.0	134.0	147.0	240.0
NM_001179532.3	357.0	339.0	483.0	342.0	421.0	626.0
NM_001179533.1	548.0	465.0	794.0	822.0	720.0	1369.0
NM_001179534.1	1585.0	1563.0	2058.0	1927.0	2169.0	3225.0
NM_001179535.3	12.0	9.0	15.0	10.0	7.0	18.0
NM_001179536.3	65.0	59.0	103.0	93.0	71.0	131.0
NM_001179537.1	108.0	111.0	169.0	127.0	136.0	143.0
NM_001179538.1	323.0	302.0	428.0	352.0	324.0	465.0
NM_001179539.3	64.0	56.0	90.0	50.0	67.0	116.0
NM_001184655.1	31.0	37.0	37.0	51.0	53.0	42.0
NM_001179540.1	269.0	234.0	330.0	300.0	281.0	490.0
NM_001179541.3	41.0	47.0	89.0	64.0	62.0	97.0
NM_001270752.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001179543.3	339.0	369.0	468.0	460.0	405.0	723.0
NM_001184656.1	22.42	14.11	27.36	14.05	24.15	43.68
NM_001179544.1	561.58	576.89	811.64	664.95	688.85	1221.32
NM_001179545.3	410.0	401.0	590.0	631.0	503.0	640.0
NM_001179546.1	101.0	116.0	176.0	116.0	142.0	260.0
NM_001179547.1	112.0	109.0	170.0	135.0	174.0	270.0
NM_001179548.3	730.0	646.0	1135.0	852.0	816.0	1262.0
NM_001179549.3	46.0	55.0	78.0	70.0	70.0	92.0
NM_001179550.3	68.0	81.0	90.0	72.0	63.0	139.0
NM_001179551.1	75.0	100.0	117.0	93.0	79.0	168.0
NM_001179552.1	97.0	84.0	128.0	115.0	124.0	233.0
NM_001179553.3	405.0	403.0	519.0	553.0	563.0	819.0
NM_001179554.1	44.0	42.0	66.0	47.0	73.0	117.0
