transcript_id	SRR1944924.isoforms.results	SRR1944925.isoforms.results	SRR1944926.isoforms.results	SRR1944927.isoforms.results	SRR1944928.isoforms.results	SRR1944929.isoforms.results
NM_001180841.1	78.57	71.82	64.17	67.92	77.28	69.84
NM_001180842.1	44.08	24.1	14.12	23.15	11.82	22.61
NM_001180844.3	6.14	5.82	6.21	9.21	7.75	5.7
NM_001180846.3	41.08	44.34	39.78	39.28	38.79	31.87
NM_001180847.1	57.01	52.57	47.26	47.31	42.24	40.73
NM_001180848.1	8.16	7.59	9.94	6.76	10.51	14.14
NM_001180849.4	37.78	32.34	34.09	50.98	51.16	46.68
NM_001180850.3	0.0	0.0	0.25	0.96	0.38	0.67
NM_001180853.1	1.2	1.52	1.78	1.73	1.31	0.77
NM_001178816.1	335.29	299.71	270.1	262.33	296.94	283.08
NM_001178817.3	211.21	187.6	207.38	220.21	205.08	214.4
NM_001178818.1	88.36	69.0	99.29	52.95	91.07	107.68
NM_001178819.1	24.53	21.2	21.16	25.17	26.03	21.99
NM_001178820.3	22.9	15.91	18.68	17.88	22.55	21.81
NM_001178821.1	88.06	79.82	78.19	78.61	86.86	73.55
NM_001178822.1	69.89	67.18	71.86	79.63	75.66	54.56
NM_001348823.1	3.03	8.08	5.92	7.35	7.39	7.73
NM_001178824.3	1369.11	1386.89	1392.65	1424.64	1437.84	1499.51
NM_001348822.1	2.52	2.72	3.1	4.3	0.9	0.86
NM_001178826.1	16.72	13.59	16.47	23.22	21.56	19.78
NM_001178827.1	25.13	27.31	29.19	35.06	43.73	41.03
NM_001178828.3	77.88	68.34	74.48	88.84	86.72	77.58
NM_001348821.1	18.76	21.18	22.26	22.73	31.77	28.21
NM_001178830.1	81.5	65.89	87.24	77.66	107.7	93.12
NM_001178831.1	44.08	48.37	43.91	47.22	48.32	39.52
NM_001180029.1	1631.2	1197.74	1414.38	1418.49	1537.25	1565.16
NM_001178832.3	73.75	79.23	72.48	86.0	79.47	78.96
NM_001178833.1	38.2	34.39	42.23	33.73	46.46	45.94
