transcript_id	SRR1944912.isoforms.results	SRR1944913.isoforms.results	SRR1944914.isoforms.results	SRR1944915.isoforms.results	SRR1944916.isoforms.results	SRR1944917.isoforms.results
NM_001184450.1	1.0	4.0	2.0	5.0	1.0	1.0
NM_001178670.1	317.0	419.0	214.0	396.0	323.0	190.0
NM_001178671.1	507.31	593.24	317.08	662.49	550.42	306.18
NM_001178713.1	14.0	20.0	9.0	25.0	19.0	16.0
NM_001184449.1	193.0	254.0	128.0	134.0	116.0	91.0
NM_001178672.1	153.0	231.0	127.0	318.0	278.0	166.0
NM_001178673.1	3415.0	4111.0	2123.0	4197.0	3657.0	1954.0
NM_001178674.1	368.0	502.0	261.0	390.0	373.0	199.0
NM_001178675.1	6488.0	7133.0	2946.0	8116.0	6879.0	2819.0
NM_001178676.1	997.0	1178.0	645.0	1368.0	1203.0	702.0
NM_001178677.1	176.0	247.0	128.0	206.0	191.0	101.0
NM_001178678.1	406.0	548.0	315.0	699.0	609.0	407.0
NM_001178679.1	799.0	1022.0	558.0	1463.0	1220.0	717.0
NM_001178680.1	1300.0	1635.0	983.0	2086.0	1830.0	921.0
NM_001178681.1	191.0	255.0	143.0	353.0	342.0	221.0
NM_001178682.1	8912.0	10370.0	5579.0	9214.0	8751.0	5227.0
NM_001178683.1	289.0	368.0	183.0	416.0	351.0	201.0
NM_001178684.1	254.0	305.0	191.0	373.0	318.0	180.0
NM_001178685.1	2246.64	2959.17	1529.21	4346.55	3855.22	2233.58
NM_001178687.1	86.36	17.83	16.79	50.45	49.78	12.42
NM_001178688.1	20218.0	24829.0	12772.0	32039.0	29254.0	16548.0
