gene_id	SRR1944912.genes.results	SRR1944913.genes.results	SRR1944914.genes.results	SRR1944915.genes.results	SRR1944916.genes.results	SRR1944917.genes.results
YOL003C	16.26	17.23	15.75	16.55	16.98	16.08
YOL004W	43.15	46.67	38.47	50.51	43.82	46.62
YOL005C	212.24	200.55	212.58	199.08	211.0	209.27
YOL006C	34.18	38.8	38.35	31.14	26.74	28.99
YOL007C	44.8	48.53	53.05	44.32	46.97	45.69
YOL008W	27.02	26.55	27.37	28.29	26.42	29.95
YOL009C	4.37	5.73	6.22	6.16	6.45	4.7
YOL010W	38.51	41.01	46.78	43.35	49.1	48.58
YOL011W	12.76	15.47	12.73	17.06	17.15	18.25
YOL012C	160.25	156.48	173.15	115.29	121.19	118.22
YOL013C	9.94	11.59	11.93	11.52	10.35	12.22
YOL014W	6.99	2.54	4.25	3.09	5.14	3.28
YOL015W	0.07	0.14	0.0	0.03	0.16	0.11
YOL016C	18.74	21.17	21.54	27.02	25.86	24.87
YOL017W	6.52	7.09	8.19	8.35	8.26	9.38
YOL018C	19.02	20.26	23.31	21.43	21.62	21.0
YOL019W	22.77	25.63	29.2	25.44	24.01	25.78
YOL019W-A	0.0	0.0	0.0	0.0	0.0	0.0
YOL020W	28.99	30.05	31.76	25.55	26.36	28.87
YOL021C	45.63	46.13	50.1	54.24	53.11	53.99
YOL022C	63.42	63.09	61.56	57.07	64.27	62.0
YOL023W	3.89	3.73	4.88	4.19	3.58	4.16
YOL024W	0.0	0.19	0.0	0.18	0.1	0.19
YOL025W	6.12	6.28	5.52	6.66	7.11	6.89
YOL026C	85.81	88.42	105.47	95.99	104.79	118.77
YOL027C	47.06	54.08	48.76	64.52	63.06	64.4
YOL028C	23.17	22.01	24.19	25.79	23.97	27.23
YOL029C	0.19	0.0	0.15	0.16	0.09	0.0
YOL030W	162.26	176.0	170.83	190.41	192.73	197.02
YOL031C	27.76	30.16	31.48	22.99	24.33	21.1
YOL032W	23.48	27.14	24.84	29.2	28.84	25.8
YOL033W	4.47	5.75	5.95	5.29	6.52	5.91
YOL034W	3.68	3.78	3.9	4.24	3.32	3.63
YOL036W	15.94	18.15	13.85	18.27	15.07	16.69
YOL038C-A	5.35	8.94	15.16	13.85	16.92	10.53
YOL038W	171.03	177.45	176.32	221.65	210.65	217.51
YOL039W	5160.43	5279.26	4462.85	4956.86	5243.22	4589.87
YOL040C	6342.11	6343.63	5667.01	5506.34	5586.99	5324.1
YOL041C	101.28	110.85	100.52	128.62	113.21	106.86
YOL042W	13.07	12.82	14.51	12.92	13.5	13.18
YOL043C	2.0	2.68	1.8	3.42	3.41	3.74
YOL044W	12.14	11.95	12.23	10.95	11.57	11.48
YOL045W	11.06	11.37	11.51	13.07	12.31	13.91
YOL047C	0.62	0.28	0.43	0.59	0.56	0.83
YOL048C	6.05	5.26	5.43	8.76	9.09	8.57
YOL049W	58.99	59.0	62.7	65.5	67.93	67.06
YOL051W	25.93	27.75	26.04	25.54	23.08	26.83
YOL052C	52.22	51.52	52.7	52.22	54.5	54.64
YOL052C-A	22.74	15.46	12.4	19.21	21.08	16.07
YOL053W	7.28	6.65	7.7	8.24	8.55	9.55
YOL054W	10.29	11.42	11.71	14.21	15.89	16.55
YOL055C	6.1	6.64	6.25	7.59	7.71	8.95
YOL056W	19.88	24.02	28.66	22.36	23.84	23.72
