Sample	Length	Site	End	Offset	Count
elp6d_ribo_YPD1	33	TTS	5p-end	-13	3477
elp6d_ribo_YPD1	27	TTS	5p-end	-12	82
elp6d_ribo_YPD1	28	TTS	5p-end	-12	124
elp6d_ribo_YPD1	29	TTS	5p-end	-12	179
elp6d_ribo_YPD1	30	TTS	5p-end	-12	989
elp6d_ribo_YPD1	31	TTS	5p-end	-12	3060
elp6d_ribo_YPD1	32	TTS	5p-end	-12	2930
elp6d_ribo_YPD1	33	TTS	5p-end	-12	200
elp6d_ribo_YPD1	27	TTS	5p-end	-11	104
elp6d_ribo_YPD1	28	TTS	5p-end	-11	29
elp6d_ribo_YPD1	29	TTS	5p-end	-11	99
elp6d_ribo_YPD1	30	TTS	5p-end	-11	361
elp6d_ribo_YPD1	31	TTS	5p-end	-11	468
elp6d_ribo_YPD1	32	TTS	5p-end	-11	167
elp6d_ribo_YPD1	33	TTS	5p-end	-11	41
elp6d_ribo_YPD1	27	TTS	5p-end	-10	9
elp6d_ribo_YPD1	28	TTS	5p-end	-10	16
elp6d_ribo_YPD1	29	TTS	5p-end	-10	63
elp6d_ribo_YPD1	30	TTS	5p-end	-10	84
elp6d_ribo_YPD1	31	TTS	5p-end	-10	75
elp6d_ribo_YPD1	32	TTS	5p-end	-10	64
elp6d_ribo_YPD1	33	TTS	5p-end	-10	25
elp6d_ribo_YPD1	27	TTS	5p-end	-9	29
elp6d_ribo_YPD1	28	TTS	5p-end	-9	64
elp6d_ribo_YPD1	29	TTS	5p-end	-9	47
elp6d_ribo_YPD1	30	TTS	5p-end	-9	37
elp6d_ribo_YPD1	31	TTS	5p-end	-9	66
elp6d_ribo_YPD1	32	TTS	5p-end	-9	73
elp6d_ribo_YPD1	33	TTS	5p-end	-9	42
elp6d_ribo_YPD1	27	TTS	5p-end	-8	26
elp6d_ribo_YPD1	28	TTS	5p-end	-8	27
elp6d_ribo_YPD1	29	TTS	5p-end	-8	11
elp6d_ribo_YPD1	30	TTS	5p-end	-8	30
elp6d_ribo_YPD1	31	TTS	5p-end	-8	83
elp6d_ribo_YPD1	32	TTS	5p-end	-8	96
elp6d_ribo_YPD1	33	TTS	5p-end	-8	44
elp6d_ribo_YPD1	27	TTS	5p-end	-7	15
elp6d_ribo_YPD1	28	TTS	5p-end	-7	2
elp6d_ribo_YPD1	29	TTS	5p-end	-7	4
elp6d_ribo_YPD1	30	TTS	5p-end	-7	33
elp6d_ribo_YPD1	31	TTS	5p-end	-7	71
elp6d_ribo_YPD1	32	TTS	5p-end	-7	73
elp6d_ribo_YPD1	33	TTS	5p-end	-7	27
elp6d_ribo_YPD1	27	TTS	5p-end	-6	6
elp6d_ribo_YPD1	28	TTS	5p-end	-6	4
elp6d_ribo_YPD1	29	TTS	5p-end	-6	7
elp6d_ribo_YPD1	30	TTS	5p-end	-6	35
elp6d_ribo_YPD1	31	TTS	5p-end	-6	73
elp6d_ribo_YPD1	32	TTS	5p-end	-6	77
elp6d_ribo_YPD1	33	TTS	5p-end	-6	28
elp6d_ribo_YPD1	27	TTS	5p-end	-5	0
elp6d_ribo_YPD1	28	TTS	5p-end	-5	1
elp6d_ribo_YPD1	29	TTS	5p-end	-5	13
elp6d_ribo_YPD1	30	TTS	5p-end	-5	28
elp6d_ribo_YPD1	31	TTS	5p-end	-5	64
elp6d_ribo_YPD1	32	TTS	5p-end	-5	77
elp6d_ribo_YPD1	33	TTS	5p-end	-5	22
elp6d_ribo_YPD1	27	TTS	5p-end	-4	0
elp6d_ribo_YPD1	28	TTS	5p-end	-4	0
elp6d_ribo_YPD1	29	TTS	5p-end	-4	4
elp6d_ribo_YPD1	30	TTS	5p-end	-4	28
elp6d_ribo_YPD1	31	TTS	5p-end	-4	40
elp6d_ribo_YPD1	32	TTS	5p-end	-4	62
elp6d_ribo_YPD1	33	TTS	5p-end	-4	28
elp6d_ribo_YPD1	27	TTS	5p-end	-3	0
elp6d_ribo_YPD1	28	TTS	5p-end	-3	8
