transcript_id	wt_mrna_YPD1.isoforms.results	wt_mrna_YPD2.isoforms.results	wt_mrna_YPD3.isoforms.results	ncs2d_mrna_YPD1.isoforms.results	ncs2d_mrna_YPD2.isoforms.results	ncs2d_mrna_YPD3.isoforms.results	elp6d_mrna_YPD1.isoforms.results	elp6d_mrna_YPD2.isoforms.results	elp6d_mrna_YPD3.isoforms.results	ncs2d_elp6d_mrna_YPD1.isoforms.results	ncs2d_elp6d_mrna_YPD2.isoforms.results	ncs2d_elp6d_mrna_YPD3.isoforms.results
YPL084W-t26_1	649.0	555.0	1066.0	672.0	693.0	1084.0	608.0	1357.0	1439.0	1027.0	754.0	2017.0
YPL085W-t26_1	554.0	554.0	1323.0	918.0	614.0	1101.0	898.0	1734.0	1876.0	1101.0	1515.0	2775.0
YPL086C-t26_1	1086.0	1040.0	1624.0	1658.0	1793.0	2530.0	1103.0	2933.0	2566.0	1998.0	1889.0	3555.0
YPL087W-t26_1	472.0	470.0	700.0	505.0	549.0	945.0	498.0	1215.0	1088.0	725.0	759.0	1457.0
YPL088W-t26_1	113.0	117.0	169.0	145.0	135.0	258.0	144.0	377.0	310.0	263.0	286.0	482.0
YPL089C-t26_1	461.0	461.0	525.0	532.0	522.0	601.0	355.0	1080.0	827.0	676.0	598.0	1131.0
YPL090C-t26_1	19285.79	21767.59	27922.37	18035.65	19786.14	36750.41	16097.56	39748.82	34049.84	19390.0	17267.31	41278.82
YPL091W-t26_1	1672.0	1853.0	2639.0	2204.0	2214.0	3815.0	1798.0	4508.0	3776.0	2759.0	2911.0	5319.0
YPL092W-t26_1	688.0	631.0	900.0	1031.0	952.0	1512.0	966.0	2254.0	2031.0	1075.0	1312.0	2185.0
YPL093W-t26_1	2662.0	2851.0	3968.0	3438.0	3145.0	4870.0	2409.0	6909.0	5419.0	3480.0	3550.0	6892.0
YPL094C-t26_1	1174.0	1249.0	1703.0	1041.0	998.0	2138.0	917.0	2474.0	2200.0	1238.0	976.0	2404.0
YPL095C-t26_1	320.0	292.0	396.0	408.0	414.0	674.0	293.0	786.0	679.0	474.0	397.0	888.0
