Sample	Length	Plus_Count	Minus_Count	Plus_Ratio	Minus_Ratio
R_GR_un_04d_1	35	12937	0	0.0624	0.0
R_GR_un_04d_1	36	1444	0	0.007	0.0
R_GR_un_04d_1	37	13	0	0.0001	0.0
R_GR_un_04d_1	39	8	0	0.0	0.0
R_GR_un_04d_1	42	298	0	0.0014	0.0
R_GR_un_04d_2	24	212170	637	0.995	1.2464
R_GR_un_04d_2	25	367167	950	1.7219	1.8588
R_GR_un_04d_2	26	672445	1961	3.1536	3.837
R_GR_un_04d_2	27	1343600	5463	6.3012	10.6893
R_GR_un_04d_2	28	2613351	6206	12.2561	12.1432
R_GR_un_04d_2	29	4815466	9356	22.5836	18.3067
R_GR_un_04d_2	30	6085661	13049	28.5406	25.5327
R_GR_un_04d_2	31	3872959	9969	18.1634	19.5061
R_GR_un_04d_2	32	1013621	2731	4.7537	5.3437
R_GR_un_04d_2	33	262887	555	1.2329	1.086
R_GR_un_04d_2	34	54925	177	0.2576	0.3463
R_GR_un_04d_2	35	7422	43	0.0348	0.0841
R_GR_un_04d_2	36	922	10	0.0043	0.0196
R_GR_un_04d_2	37	122	0	0.0006	0.0
R_GR_un_04d_2	38	76	0	0.0004	0.0
R_GR_un_04d_2	39	33	0	0.0002	0.0
R_GR_un_04d_2	40	21	0	0.0001	0.0
R_GR_un_04d_3	24	209436	710	1.0447	1.4745
R_GR_un_04d_3	25	376243	833	1.8767	1.7299
R_GR_un_04d_3	26	650769	2305	3.2461	4.7868
R_GR_un_04d_3	27	1315222	4452	6.5604	9.2455
R_GR_un_04d_3	28	2583735	6718	12.8878	13.9514
R_GR_un_04d_3	29	4738840	8410	23.6375	17.4652
R_GR_un_04d_3	30	5685333	13356	28.3586	27.7366
R_GR_un_04d_3	31	3362148	8319	16.7705	17.2762
R_GR_un_04d_3	32	850670	2479	4.2432	5.1482
R_GR_un_04d_3	33	223401	509	1.1143	1.057
R_GR_un_04d_3	34	45958	33	0.2292	0.0685
R_GR_un_04d_3	35	5648	14	0.0282	0.0291
R_GR_un_04d_3	36	478	15	0.0024	0.0312
R_GR_un_04d_3	37	70	0	0.0003	0.0
R_GR_un_04d_3	38	4	0	0.0	0.0
R_GR_un_04d_3	40	22	0	0.0001	0.0
R_GR_un_04d_3	42	3	0	0.0	0.0
R_GR_in_07d_1	24	806624	2336	4.3409	4.8224
R_GR_in_07d_1	25	958128	3330	5.1562	6.8743
R_GR_in_07d_1	26	1318526	4007	7.0958	8.2719
R_GR_in_07d_1	27	2231753	10102	12.0104	20.8542
R_GR_in_07d_1	28	3545096	7597	19.0782	15.683
R_GR_in_07d_1	29	4760544	9487	25.6192	19.5846
R_GR_in_07d_1	30	3388788	7631	18.237	15.7532
R_GR_in_07d_1	31	1189273	2952	6.4002	6.094
R_GR_in_07d_1	32	299102	756	1.6096	1.5607
R_GR_in_07d_1	33	73682	151	0.3965	0.3117
R_GR_in_07d_1	34	9709	91	0.0522	0.1879
R_GR_in_07d_1	35	559	1	0.003	0.0021
R_GR_in_07d_1	36	106	0	0.0006	0.0
R_GR_in_07d_1	37	14	0	0.0001	0.0
R_GR_in_07d_1	38	1	0	0.0	0.0
R_GR_in_07d_1	40	3	0	0.0	0.0
R_GR_in_07d_2	24	1575999	4312	7.1463	7.239
R_GR_in_07d_2	25	1714372	5930	7.7738	9.9553
R_GR_in_07d_2	26	2091900	7507	9.4856	12.6028
R_GR_in_07d_2	27	2813048	13554	12.7557	22.7546
R_GR_in_07d_2	28	3680644	7442	16.6898	12.4937
R_GR_in_07d_2	29	4741333	9272	21.4994	15.5659
R_GR_in_07d_2	30	3722234	7823	16.8783	13.1333
R_GR_in_07d_2	31	1378360	2807	6.2501	4.7124
R_GR_in_07d_2	32	277635	794	1.2589	1.333
R_GR_in_07d_2	33	50934	122	0.231	0.2048
R_GR_in_07d_2	34	6328	3	0.0287	0.005
R_GR_in_07d_2	35	472	0	0.0021	0.0
R_GR_in_07d_2	36	57	0	0.0003	0.0
R_GR_in_07d_2	37	2	0	0.0	0.0
R_GR_in_07d_3	24	1575999	4312	7.1463	7.239
R_GR_in_07d_3	25	1714372	5930	7.7738	9.9553
R_GR_in_07d_3	26	2091900	7507	9.4856	12.6028
R_GR_in_07d_3	27	2813048	13554	12.7557	22.7546
R_GR_in_07d_3	28	3680644	7442	16.6898	12.4937
R_GR_in_07d_3	29	4741333	9272	21.4994	15.5659
R_GR_in_07d_3	30	3722234	7823	16.8783	13.1333
R_GR_in_07d_3	31	1378360	2807	6.2501	4.7124
R_GR_in_07d_3	32	277635	794	1.2589	1.333
R_GR_in_07d_3	33	50934	122	0.231	0.2048
R_GR_in_07d_3	34	6328	3	0.0287	0.005
R_GR_in_07d_3	35	472	0	0.0021	0.0
R_GR_in_07d_3	36	57	0	0.0003	0.0
R_GR_in_07d_3	37	2	0	0.0	0.0
R_GR_un_07d_1	24	613030	1425	2.718	3.184
R_GR_un_07d_1	25	735022	1804	3.2589	4.0308
R_GR_un_07d_1	26	955005	2312	4.2342	5.1659
R_GR_un_07d_1	27	1453324	4736	6.4436	10.5821
R_GR_un_07d_1	28	2414110	4474	10.7035	9.9966
R_GR_un_07d_1	29	4035350	6998	17.8916	15.6362
R_GR_un_07d_1	30	5412238	9463	23.9963	21.144
R_GR_un_07d_1	31	4430094	8298	19.6418	18.5409
R_GR_un_07d_1	32	1995764	4000	8.8487	8.9375
R_GR_un_07d_1	33	453455	1064	2.0105	2.3774
